epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,259.406,0.5255,1.08533,0.23587,0.15747,0.68182,0.20439,0.13662,0.25642,1.28964,0.12323,3.32428e-05,3.32428e-05,0.0667905
2,500.752,0.33309,1.07891,0.13288,0.13159,0.47386,0.16275,0.11849,0.20652,1.39204,0.09679,6.52579e-05,6.52579e-05,0.0334892
3,740.823,0.2851,1.03949,0.11398,0.20022,0.57045,0.21013,0.16534,0.20329,1.22269,0.09763,9.5953e-05,9.5953e-05,0.000186533
4,983.816,0.29567,0.78927,0.11962,0.9464,0.96023,0.97518,0.78452,0.21345,0.36353,0.10295,9.406e-05,9.406e-05,9.406e-05
5,1227.1,0.28605,0.39108,0.11907,0.97305,0.98473,0.99224,0.80459,0.20876,0.328,0.09961,9.208e-05,9.208e-05,9.208e-05
6,1472.61,0.27201,0.35722,0.11216,0.98144,0.99205,0.99455,0.81093,0.20558,0.29984,0.09939,9.01e-05,9.01e-05,9.01e-05
7,1717.22,0.25935,0.33956,0.10572,0.98471,0.99091,0.99438,0.80968,0.20149,0.30319,0.09643,8.812e-05,8.812e-05,8.812e-05
8,1956.67,0.24832,0.32994,0.10277,0.98988,0.99205,0.99485,0.81705,0.20353,0.29527,0.09742,8.614e-05,8.614e-05,8.614e-05
9,2202.23,0.24615,0.32624,0.10039,0.97423,0.98795,0.99423,0.81408,0.20479,0.3,0.09874,8.416e-05,8.416e-05,8.416e-05
10,2441.51,0.23862,0.31949,0.09686,0.98757,0.9932,0.99481,0.82441,0.19835,0.28818,0.09491,8.218e-05,8.218e-05,8.218e-05
11,2686.23,0.23543,0.31419,0.09723,0.98938,0.99205,0.99481,0.82049,0.1992,0.29214,0.09522,8.02e-05,8.02e-05,8.02e-05
12,2927.55,0.22853,0.3094,0.09335,0.98982,0.99473,0.99479,0.82237,0.19666,0.28843,0.09425,7.822e-05,7.822e-05,7.822e-05
13,3168.29,0.22573,0.30891,0.09154,0.98979,0.99136,0.99484,0.82005,0.20115,0.29213,0.09676,7.624e-05,7.624e-05,7.624e-05
14,3405.15,0.22148,0.30314,0.08921,0.98645,0.99293,0.99482,0.82313,0.19939,0.28473,0.09491,7.426e-05,7.426e-05,7.426e-05
15,3640.75,0.21874,0.30062,0.08794,0.98982,0.99482,0.99487,0.81598,0.20808,0.29924,0.09924,7.228e-05,7.228e-05,7.228e-05
16,3876.92,0.21306,0.29728,0.08533,0.98873,0.99703,0.99465,0.82313,0.19723,0.28798,0.09357,7.03e-05,7.03e-05,7.03e-05
17,4112.76,0.21154,0.2941,0.08444,0.98868,0.99091,0.99484,0.82704,0.19656,0.28753,0.09376,6.832e-05,6.832e-05,6.832e-05
18,4351.62,0.21016,0.29251,0.08382,0.98732,0.99659,0.99458,0.8263,0.19798,0.28592,0.09418,6.634e-05,6.634e-05,6.634e-05
19,4587.76,0.20584,0.28934,0.08318,0.98869,0.99313,0.99404,0.82716,0.1984,0.2886,0.09408,6.436e-05,6.436e-05,6.436e-05
20,4825.61,0.2052,0.2878,0.08228,0.98392,0.99205,0.98922,0.82287,0.19737,0.29106,0.09349,6.238e-05,6.238e-05,6.238e-05
21,5064.16,0.20651,0.28783,0.08275,0.98754,0.99059,0.99474,0.82809,0.19888,0.29126,0.09461,6.04e-05,6.04e-05,6.04e-05
22,5307.28,0.20068,0.28504,0.08037,0.98838,0.99432,0.99486,0.83087,0.19571,0.28834,0.09298,5.842e-05,5.842e-05,5.842e-05
23,5547.78,0.20057,0.28527,0.07936,0.98333,0.99318,0.99382,0.82765,0.1976,0.29737,0.0934,5.644e-05,5.644e-05,5.644e-05
24,5786.99,0.19809,0.28234,0.07873,0.98651,0.99742,0.99483,0.83191,0.19586,0.28817,0.09293,5.446e-05,5.446e-05,5.446e-05
25,6026.52,0.19623,0.27961,0.07684,0.98321,0.99807,0.99156,0.82828,0.19448,0.29106,0.09205,5.248e-05,5.248e-05,5.248e-05
26,6261.9,0.19586,0.28027,0.07812,0.98857,0.99205,0.99485,0.83227,0.19563,0.28759,0.09271,5.05e-05,5.05e-05,5.05e-05
27,6501.97,0.19359,0.27757,0.07645,0.98343,0.99545,0.99414,0.83204,0.19656,0.29161,0.09343,4.852e-05,4.852e-05,4.852e-05
