epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2188.17,1.03501,0.73918,1.18023,0.83566,0.90114,0.92138,0.66504,1.025,2.16614,1.32414,0.000663043,0.000663043,0.000663043
2,2295.86,1.03819,0.61388,1.18226,0.92645,0.95,0.96796,0.72218,0.91075,1.19928,1.17494,0.00130338,0.00130338,0.00130338
3,2404.66,1.00553,0.58051,1.1682,0.98432,0.9625,0.98887,0.75716,0.86409,0.52903,1.10858,0.00191732,0.00191732,0.00191732
4,2513.43,0.95825,0.53154,1.13724,0.97002,0.96477,0.99108,0.7789,0.81736,0.48494,1.0733,0.0018812,0.0018812,0.0018812
5,2622.34,0.93323,0.50358,1.12786,0.9801,0.97841,0.99331,0.77549,0.8469,0.39688,1.07568,0.0018416,0.0018416,0.0018416
6,2728.38,0.90307,0.48185,1.10305,0.98575,0.9875,0.99446,0.80078,0.7828,0.35952,1.05255,0.001802,0.001802,0.001802
7,2837.44,0.87514,0.45681,1.0865,0.99764,0.96042,0.99231,0.78409,0.81404,0.41937,1.07174,0.0017624,0.0017624,0.0017624
8,2943.52,0.85464,0.43475,1.073,0.99555,0.98068,0.99463,0.80398,0.76371,0.34863,1.04537,0.0017228,0.0017228,0.0017228
9,3051.67,0.84104,0.42393,1.06662,0.97178,0.97847,0.99409,0.80417,0.75956,0.35046,1.03946,0.0016832,0.0016832,0.0016832
10,3160.34,0.8274,0.4158,1.05996,0.98423,0.99298,0.99437,0.80579,0.76788,0.34312,1.03297,0.0016436,0.0016436,0.0016436
11,3268.12,0.81875,0.40949,1.06226,0.99,0.99205,0.9948,0.80277,0.79769,0.31905,1.05348,0.001604,0.001604,0.001604
12,3374.1,0.80741,0.4005,1.05011,0.99204,0.99083,0.99485,0.81487,0.72992,0.31505,1.01422,0.0015644,0.0015644,0.0015644
13,3482.22,0.79072,0.38919,1.0381,0.99316,0.9893,0.99481,0.81886,0.72884,0.30445,1.01515,0.0015248,0.0015248,0.0015248
14,3589.64,0.78959,0.38837,1.04107,0.98095,0.99485,0.99468,0.8115,0.76856,0.30942,1.03808,0.0014852,0.0014852,0.0014852
15,3695.34,0.78999,0.38528,1.04114,0.99433,0.98409,0.99483,0.82296,0.74024,0.30105,1.02121,0.0014456,0.0014456,0.0014456
16,3808.29,0.77039,0.37827,1.03446,0.98764,0.98977,0.99478,0.82686,0.72607,0.30063,1.00852,0.001406,0.001406,0.001406
17,3916.52,0.76534,0.36993,1.02741,0.98176,0.99091,0.99436,0.82092,0.73866,0.29418,1.01954,0.0013664,0.0013664,0.0013664
18,4022.49,0.76223,0.3671,1.02514,0.99158,0.99205,0.99483,0.82311,0.73872,0.28917,1.01676,0.0013268,0.0013268,0.0013268
19,4128.31,0.75176,0.35741,1.0192,0.98792,0.99318,0.99475,0.82097,0.73088,0.29278,1.0157,0.0012872,0.0012872,0.0012872
20,4234.29,0.7488,0.35636,1.01651,0.98651,0.99725,0.99469,0.82397,0.73127,0.28697,1.00881,0.0012476,0.0012476,0.0012476
21,4340.29,0.74272,0.35093,1.0128,0.9876,0.99574,0.99474,0.82424,0.75068,0.29438,1.02396,0.001208,0.001208,0.001208
22,4445.69,0.73283,0.34675,1.00634,0.98771,0.99318,0.99475,0.83833,0.71892,0.27738,1.00528,0.0011684,0.0011684,0.0011684
23,4553.41,0.7324,0.34499,1.01108,0.98868,0.99225,0.99483,0.82452,0.72274,0.27298,1.00938,0.0011288,0.0011288,0.0011288
24,4659.05,0.72463,0.33763,1.00461,0.98453,0.99432,0.99478,0.83336,0.72723,0.27785,1.01465,0.0010892,0.0010892,0.0010892
25,4764.92,0.71374,0.33442,0.99648,0.99316,0.99038,0.99485,0.84051,0.71379,0.28479,1.00405,0.0010496,0.0010496,0.0010496
26,4872.75,0.7071,0.32653,0.99675,0.99204,0.99087,0.99487,0.83103,0.7225,0.27413,1.00973,0.00101,0.00101,0.00101
27,4978.37,0.70225,0.32699,0.99608,0.9887,0.99397,0.99483,0.82837,0.70811,0.27704,1.0012,0.0009704,0.0009704,0.0009704
28,5084.3,0.6926,0.32279,0.99276,0.98962,0.99318,0.99485,0.83744,0.71098,0.27423,1.00254,0.0009308,0.0009308,0.0009308
29,5190.03,0.68265,0.31803,0.98402,0.98868,0.99206,0.99491,0.83984,0.71051,0.28055,1.00492,0.0008912,0.0008912,0.0008912
30,5296.18,0.67543,0.3157,0.98184,0.99315,0.98919,0.99482,0.84344,0.70997,0.2699,1.00446,0.0008516,0.0008516,0.0008516
31,5404.08,0.66888,0.31137,0.98201,0.98648,0.99473,0.99483,0.84272,0.70863,0.25789,1.00476,0.000812,0.000812,0.000812
32,5509.67,0.65609,0.30455,0.97541,0.99207,0.99518,0.99487,0.83907,0.71446,0.26335,1.0015,0.0007724,0.0007724,0.0007724
33,5615.47,0.65438,0.30287,0.97386,0.98976,0.99318,0.99486,0.84076,0.70717,0.26387,1.00222,0.0007328,0.0007328,0.0007328
34,5721.28,0.65694,0.30385,0.97343,0.99337,0.98977,0.9949,0.83076,0.73301,0.27001,1.01251,0.0006932,0.0006932,0.0006932
35,5827.3,0.6423,0.29785,0.96527,0.99203,0.99023,0.99486,0.83858,0.70032,0.25526,0.99695,0.0006536,0.0006536,0.0006536
36,5933.67,0.63895,0.2932,0.96473,0.98711,0.99545,0.99483,0.8428,0.70218,0.2541,1.00181,0.000614,0.000614,0.000614
37,6039.1,0.62878,0.28834,0.95994,0.99427,0.98522,0.99485,0.84736,0.6916,0.25398,0.99877,0.0005744,0.0005744,0.0005744
38,6146.7,0.63398,0.29309,0.96467,0.99204,0.99079,0.9949,0.84141,0.6934,0.25406,0.9987,0.0005348,0.0005348,0.0005348
39,6252.63,0.62211,0.2859,0.96406,0.992,0.98647,0.99479,0.846,0.709,0.25125,1.00563,0.0004952,0.0004952,0.0004952
40,6358.17,0.62332,0.28592,0.96246,0.99315,0.98845,0.99485,0.84604,0.70952,0.25676,1.00738,0.0004556,0.0004556,0.0004556
41,6466.14,0.57677,0.25228,0.95613,0.98758,0.99361,0.99486,0.8423,0.7053,0.25282,1.00037,0.000416,0.000416,0.000416
42,6570.92,0.57684,0.24942,0.95619,0.99146,0.98977,0.99482,0.84795,0.69712,0.24923,1.00103,0.0003764,0.0003764,0.0003764
43,6677.66,0.55989,0.24041,0.94364,0.99152,0.98864,0.99478,0.84564,0.70022,0.24596,0.99723,0.0003368,0.0003368,0.0003368
44,6782.87,0.55624,0.23997,0.94459,0.99428,0.98704,0.99482,0.84668,0.70772,0.24717,1.00348,0.0002972,0.0002972,0.0002972
45,6888.01,0.54815,0.23665,0.94104,0.99089,0.98905,0.99486,0.84736,0.69968,0.24755,0.99734,0.0002576,0.0002576,0.0002576
46,6993.11,0.53936,0.23092,0.93385,0.993,0.98864,0.99488,0.84959,0.69759,0.24516,0.997,0.000218,0.000218,0.000218
47,7104.13,0.53662,0.2297,0.9347,0.99316,0.98946,0.9949,0.84751,0.70021,0.24378,0.99913,0.0001784,0.0001784,0.0001784
48,7209.11,0.53101,0.22472,0.93267,0.99089,0.98909,0.99486,0.84561,0.70177,0.24014,0.99665,0.0001388,0.0001388,0.0001388
49,7314.11,0.52512,0.22043,0.9282,0.98836,0.99091,0.99487,0.84892,0.69985,0.24093,0.99575,9.92e-05,9.92e-05,9.92e-05
50,7418.99,0.51995,0.21718,0.9238,0.99541,0.98484,0.99486,0.84977,0.7013,0.23992,0.99887,5.96e-05,5.96e-05,5.96e-05
